iter	Passed	Remaining
0	44	44289
1	55	27559
2	65	21873
3	76	19008
4	99	19768
5	109	18194
6	119	17014
7	131	16251
8	133	14746
9	144	14305
10	152	13700
11	156	12881
12	160	12180
13	171	12096
14	176	11565
15	187	11517
16	198	11487
17	209	11430
18	220	11387
19	230	11315
20	241	11262
21	252	11244
22	264	11240
23	274	11174
24	287	11196
25	298	11196
26	309	11169
27	320	11126
28	331	11109
29	342	11072
30	352	11023
31	355	10765
32	375	11016
33	387	11016
34	398	10987
35	408	10945
36	419	10926
37	430	10897
38	441	10881
39	450	10802
40	460	10767
41	470	10726
42	481	10711
43	491	10674
44	501	10638
45	511	10602
46	522	10584
47	532	10563
48	535	10383
49	538	10231
50	549	10221
51	554	10109
52	564	10085
53	574	10061
54	579	9964
55	590	9950
56	597	9884
57	607	9867
58	618	9864
59	630	9871
60	641	9869
61	646	9782
62	652	9704
63	663	9701
64	674	9696
65	684	9693
66	695	9681
67	705	9663
68	715	9658
69	726	9648
70	733	9602
71	746	9616
72	757	9618
73	767	9609
74	776	9573
75	787	9573
76	792	9502
77	803	9500
78	814	9496
79	822	9460
80	833	9451
81	840	9409
82	862	9529
83	867	9459
84	871	9379
85	881	9372
86	887	9309
87	896	9295
88	906	9282
89	916	9267
90	926	9258
91	937	9250
92	947	9240
93	957	9230
94	964	9189
95	971	9148
96	982	9148
97	990	9114
98	998	9083
99	1010	9093
100	1020	9087
101	1031	9079
102	1042	9080
103	1045	9004
104	1056	9008
105	1062	8957
106	1072	8952
107	1082	8944
108	1093	8936
109	1097	8877
110	1107	8870
111	1117	8863
112	1122	8814
113	1132	8804
114	1137	8756
115	1148	8751
116	1151	8694
117	1162	8686
118	1172	8683
119	1183	8676
120	1193	8671
121	1203	8664
122	1213	8654
123	1224	8648
124	1231	8619
125	1242	8615
126	1252	8606
127	1261	8596
128	1272	8594
129	1276	8542
130	1286	8533
131	1291	8493
132	1301	8487
133	1339	8657
134	1350	8650
135	1359	8638
136	1369	8628
137	1380	8621
138	1383	8572
139	1394	8564
140	1404	8559
141	1415	8552
142	1417	8496
143	1429	8496
144	1440	8496
145	1452	8498
146	1464	8500
147	1476	8499
148	1487	8494
149	1495	8475
150	1530	8604
151	1540	8597
152	1551	8591
153	1562	8585
154	1570	8562
155	1577	8536
156	1599	8588
157	1609	8578
158	1619	8567
159	1629	8557
160	1639	8545
161	1665	8615
162	1675	8604
163	1685	8591
164	1695	8580
165	1705	8569
166	1715	8559
167	1726	8547
168	1736	8539
169	1780	8693
170	1790	8679
171	1800	8669
172	1811	8658
173	1821	8647
174	1831	8636
175	1842	8626
176	1852	8614
177	1863	8605
178	1869	8573
179	1876	8547
180	1886	8536
181	1896	8524
182	1906	8513
183	1914	8488
184	1924	8477
185	1935	8468
186	1946	8464
187	1957	8454
188	1967	8443
189	1977	8431
190	1988	8420
191	1997	8407
192	2008	8398
193	2019	8388
194	2030	8381
195	2040	8369
196	2050	8357
197	2060	8345
198	2070	8334
199	2080	8323
200	2091	8315
201	2101	8303
202	2112	8293
203	2122	8283
204	2135	8282
205	2146	8272
206	2157	8264
207	2173	8277
208	2184	8268
209	2195	8258
210	2205	8247
211	2215	8235
212	2226	8227
213	2256	8286
214	2266	8274
215	2276	8261
216	2286	8249
217	2296	8236
218	2306	8226
219	2317	8215
220	2328	8207
221	2338	8196
222	2349	8185
223	2359	8175
224	2370	8165
225	2380	8154
226	2392	8147
227	2403	8139
228	2414	8129
229	2423	8114
230	2436	8111
231	2448	8103
232	2459	8097
233	2472	8093
234	2482	8082
235	2493	8071
236	2503	8060
237	2513	8048
238	2548	8114
239	2572	8146
240	2582	8134
241	2593	8123
242	2604	8112
243	2614	8100
244	2624	8088
245	2635	8078
246	2645	8065
247	2655	8053
248	2666	8041
249	2678	8036
250	2694	8041
251	2705	8030
252	2715	8018
253	2726	8008
254	2737	7997
255	2748	7987
256	2760	7980
257	2771	7969
258	2781	7958
259	2791	7945
260	2801	7933
261	2811	7920
262	2821	7907
263	2832	7896
264	2842	7883
265	2853	7874
266	2863	7861
267	2873	7848
268	2884	7837
269	2894	7825
270	2904	7812
271	2914	7801
272	2925	7789
273	2946	7807
274	2957	7796
275	2977	7811
276	2988	7800
277	2998	7788
278	3008	7775
279	3023	7773
280	3033	7760
281	3042	7746
282	3053	7737
283	3064	7724
284	3073	7710
285	3084	7699
286	3094	7687
287	3104	7674
288	3114	7662
289	3125	7650
290	3135	7639
291	3146	7629
292	3157	7619
293	3167	7606
294	3177	7593
295	3189	7585
296	3200	7575
297	3211	7565
298	3222	7555
299	3233	7544
300	3243	7532
301	3253	7520
302	3264	7508
303	3274	7496
304	3284	7484
305	3294	7471
306	3304	7459
307	3315	7448
308	3325	7435
309	3335	7423
310	3344	7410
311	3355	7400
312	3365	7387
313	3376	7376
314	3386	7364
315	3396	7352
316	3407	7340
317	3418	7330
318	3429	7322
319	3440	7311
320	3451	7299
321	3461	7287
322	3471	7276
323	3481	7264
324	3491	7251
325	3501	7239
326	3511	7227
327	3523	7219
328	3551	7243
329	3563	7234
330	3576	7227
331	3587	7219
332	3599	7209
333	3611	7201
334	3623	7193
335	3633	7181
336	3645	7171
337	3656	7160
338	3667	7151
339	3679	7142
340	3690	7133
341	3701	7121
342	3713	7112
343	3724	7102
344	3735	7091
345	3747	7082
346	3758	7072
347	3770	7064
348	3781	7054
349	3793	7045
350	3806	7037
351	3819	7030
352	3831	7022
353	3844	7015
354	3855	7005
355	3868	6998
356	3882	6992
357	3894	6984
358	3906	6974
359	3918	6967
360	3932	6960
361	3944	6951
362	3955	6940
363	3967	6931
364	3978	6922
365	3991	6914
366	4003	6905
367	4014	6894
368	4038	6905
369	4049	6894
370	4060	6884
371	4073	6876
372	4084	6866
373	4096	6856
374	4108	6847
375	4121	6839
376	4131	6827
377	4142	6817
378	4153	6805
379	4164	6794
380	4174	6782
381	4186	6772
382	4196	6760
383	4207	6749
384	4218	6737
385	4229	6727
386	4241	6718
387	4266	6729
388	4277	6719
389	4288	6707
390	4299	6696
391	4310	6685
392	4320	6673
393	4331	6661
394	4342	6651
395	4353	6640
396	4364	6629
397	4375	6618
398	4386	6607
399	4397	6596
400	4408	6585
401	4419	6574
402	4429	6562
403	4440	6551
404	4451	6540
405	4462	6528
406	4473	6518
407	4484	6507
408	4495	6496
409	4507	6487
410	4520	6477
411	4532	6468
412	4543	6457
413	4554	6446
414	4566	6436
415	4577	6426
416	4589	6416
417	4601	6406
418	4612	6395
419	4623	6384
420	4634	6373
421	4645	6362
422	4655	6350
423	4666	6338
424	4676	6326
425	4686	6314
426	4696	6302
427	4707	6291
428	4718	6280
429	4730	6270
430	4742	6261
431	4753	6250
432	4765	6240
433	4777	6231
434	4788	6219
435	4798	6207
436	4809	6196
437	4819	6184
438	4830	6173
439	4841	6161
440	4851	6149
441	4861	6137
442	4871	6125
443	4881	6113
444	4892	6101
445	4902	6089
446	4913	6078
447	4923	6066
448	4933	6054
449	4944	6042
450	4954	6030
451	4964	6019
452	4975	6008
453	4986	5996
454	4997	5985
455	5008	5974
456	5018	5963
457	5029	5951
458	5051	5953
459	5061	5942
460	5072	5930
461	5083	5920
462	5094	5909
463	5105	5898
464	5116	5886
465	5127	5875
466	5138	5865
467	5148	5852
468	5159	5841
469	5170	5831
470	5181	5819
471	5206	5823
472	5216	5812
473	5226	5800
474	5237	5788
475	5247	5776
476	5257	5764
477	5267	5752
478	5277	5740
479	5288	5728
480	5297	5716
481	5308	5705
482	5331	5707
483	5341	5695
484	5352	5683
485	5362	5671
486	5372	5659
487	5383	5647
488	5393	5636
489	5403	5624
490	5414	5612
491	5424	5601
492	5436	5590
493	5447	5579
494	5458	5568
495	5470	5558
496	5480	5547
497	5492	5536
498	5504	5526
499	5528	5528
500	5539	5517
501	5550	5506
502	5560	5494
503	5571	5483
504	5582	5471
505	5592	5459
506	5602	5447
507	5612	5435
508	5622	5424
509	5633	5412
510	5643	5400
511	5653	5388
512	5664	5377
513	5674	5365
514	5693	5362
515	5704	5350
516	5714	5338
517	5724	5326
518	5735	5315
519	5749	5307
520	5760	5295
521	5770	5284
522	5782	5273
523	5793	5262
524	5804	5251
525	5815	5240
526	5826	5229
527	5837	5218
528	5848	5207
529	5859	5196
530	5870	5185
531	5882	5174
532	5894	5164
533	5921	5167
534	5937	5160
535	5952	5152
536	5968	5145
537	5986	5140
538	6004	5135
539	6015	5124
540	6027	5113
541	6038	5102
542	6052	5094
543	6068	5086
544	6082	5078
545	6094	5067
546	6107	5057
547	6118	5046
548	6133	5038
549	6145	5028
550	6157	5017
551	6168	5006
552	6191	5004
553	6204	4995
554	6219	4986
555	6230	4975
556	6242	4964
557	6253	4953
558	6294	4966
559	6309	4957
560	6321	4947
561	6333	4936
562	6345	4925
563	6356	4914
564	6368	4903
565	6383	4894
566	6394	4883
567	6407	4873
568	6418	4861
569	6428	4849
570	6440	4838
571	6464	4836
572	6475	4825
573	6486	4814
574	6497	4802
575	6513	4794
576	6524	4783
577	6535	4771
578	6546	4759
579	6556	4747
580	6566	4735
581	6576	4723
582	6588	4712
583	6598	4699
584	6623	4698
585	6634	4687
586	6654	4681
587	6664	4669
588	6677	4659
589	6688	4647
590	6700	4637
591	6712	4626
592	6724	4614
593	6737	4604
594	6749	4594
595	6760	4582
596	6772	4571
597	6784	4560
598	6795	4548
599	6806	4537
600	6817	4525
601	6827	4513
602	6838	4502
603	6848	4490
604	6859	4478
605	6872	4467
606	6886	4458
607	6911	4455
608	6925	4446
609	6952	4444
610	6963	4433
611	6974	4421
612	6985	4410
613	6996	4398
614	7007	4386
615	7033	4384
616	7044	4372
617	7055	4360
618	7066	4349
619	7076	4336
620	7086	4324
621	7096	4312
622	7106	4300
623	7117	4288
624	7128	4277
625	7139	4265
626	7149	4253
627	7160	4241
628	7171	4229
629	7183	4218
630	7193	4206
631	7205	4195
632	7217	4184
633	7229	4173
634	7239	4161
635	7252	4150
636	7263	4139
637	7274	4127
638	7296	4122
639	7308	4111
640	7320	4099
641	7331	4088
642	7341	4076
643	7352	4064
644	7363	4052
645	7372	4040
646	7398	4036
647	7409	4024
648	7420	4013
649	7432	4001
650	7443	3990
651	7454	3978
652	7467	3968
653	7477	3956
654	7488	3944
655	7499	3932
656	7509	3920
657	7519	3908
658	7530	3896
659	7540	3884
660	7550	3872
661	7561	3860
662	7571	3848
663	7582	3836
664	7593	3825
665	7604	3813
666	7615	3801
667	7625	3790
668	7636	3778
669	7647	3766
670	7657	3754
671	7668	3742
672	7678	3730
673	7688	3718
674	7698	3706
675	7722	3701
676	7732	3689
677	7742	3677
678	7752	3665
679	7763	3653
680	7774	3641
681	7784	3629
682	7795	3618
683	7805	3606
684	7816	3594
685	7828	3583
686	7839	3571
687	7849	3559
688	7861	3548
689	7872	3536
690	7882	3524
691	7893	3513
692	7904	3501
693	7915	3490
694	7926	3478
695	7938	3467
696	7948	3455
697	7961	3444
698	7971	3432
699	7982	3421
700	8008	3415
701	8018	3403
702	8028	3391
703	8039	3380
704	8049	3368
705	8060	3356
706	8070	3344
707	8081	3332
708	8091	3321
709	8101	3308
710	8111	3297
711	8122	3285
712	8132	3273
713	8143	3261
714	8154	3250
715	8164	3238
716	8175	3226
717	8186	3215
718	8197	3203
719	8206	3191
720	8217	3179
721	8227	3168
722	8238	3156
723	8248	3144
724	8260	3133
725	8273	3122
726	8283	3110
727	8294	3099
728	8305	3087
729	8316	3076
730	8326	3064
731	8338	3052
732	8349	3041
733	8360	3029
734	8371	3018
735	8382	3006
736	8392	2995
737	8404	2983
738	8415	2972
739	8425	2960
740	8437	2949
741	8448	2937
742	8458	2925
743	8470	2914
744	8496	2908
745	8507	2896
746	8518	2885
747	8529	2873
748	8541	2862
749	8553	2851
750	8566	2840
751	8580	2829
752	8593	2818
753	8606	2807
754	8619	2797
755	8632	2786
756	8644	2775
757	8658	2764
758	8671	2753
759	8686	2743
760	8699	2732
761	8712	2721
762	8724	2709
763	8751	2703
764	8762	2691
765	8771	2679
766	8782	2667
767	8807	2660
768	8817	2648
769	8828	2637
770	8839	2625
771	8850	2613
772	8860	2602
773	8870	2590
774	8881	2578
775	8892	2566
776	8902	2554
777	8912	2543
778	8923	2531
779	8933	2519
780	8944	2508
781	8955	2496
782	8966	2484
783	8976	2473
784	8989	2461
785	9000	2450
786	9011	2438
787	9021	2427
788	9033	2415
789	9045	2404
790	9055	2392
791	9066	2381
792	9077	2369
793	9088	2358
794	9099	2346
795	9110	2334
796	9125	2324
797	9139	2313
798	9152	2302
799	9164	2291
800	9176	2279
801	9188	2268
802	9199	2256
803	9210	2245
804	9221	2233
805	9231	2221
806	9242	2210
807	9253	2198
808	9263	2187
809	9274	2175
810	9285	2163
811	9295	2152
812	9306	2140
813	9317	2129
814	9327	2117
815	9338	2105
816	9349	2094
817	9361	2082
818	9372	2071
819	9382	2059
820	9392	2047
821	9405	2036
822	9415	2025
823	9426	2013
824	9437	2001
825	9449	1990
826	9460	1979
827	9473	1967
828	9484	1956
829	9495	1944
830	9506	1933
831	9519	1922
832	9529	1910
833	9541	1899
834	9553	1887
835	9564	1876
836	9575	1864
837	9586	1853
838	9596	1841
839	9607	1830
840	9618	1818
841	9629	1806
842	9641	1795
843	9654	1784
844	9665	1772
845	9676	1761
846	9688	1750
847	9700	1738
848	9712	1727
849	9723	1715
850	9750	1707
851	9761	1695
852	9772	1684
853	9783	1672
854	9800	1662
855	9811	1650
856	9823	1639
857	9880	1635
858	9891	1623
859	9903	1612
860	9915	1600
861	9941	1591
862	9962	1581
863	9974	1570
864	9990	1559
865	10004	1548
866	10018	1536
867	10030	1525
868	10042	1513
869	10053	1502
870	10066	1490
871	10077	1479
872	10090	1467
873	10103	1456
874	10114	1444
875	10157	1437
876	10169	1426
877	10181	1414
878	10193	1403
879	10250	1397
880	10261	1386
881	10273	1374
882	10285	1362
883	10296	1351
884	10308	1339
885	10319	1327
886	10331	1316
887	10342	1304
888	10353	1292
889	10364	1281
890	10375	1269
891	10385	1257
892	10397	1245
893	10409	1234
894	10421	1222
895	10432	1210
896	10443	1199
897	10454	1187
898	10465	1175
899	10475	1163
900	10487	1152
